1,1,2,3,2,1,s
2,3,1,2,1,3,n
3,3,4,3,4,1,s
4,3,2,1,4,3,n
5,2,1,1,4,2,n
6,3,4,3,1,4,s
7,2,4,2,1,4,n
8,2,3,1,3,4,s
9,2,3,1,2,3,s
10,1,2,3,2,1,n
11,3,2,3,4,1,s
12,4,3,3,2,4,n
13,1,2,3,1,4,n
14,3,4,1,2,3,s
15,2,1,1,2,3,n
16,2,4,4,3,1,s
17,2,3,2,1,4,s
18,2,1,3,1,4,n
19,3,4,2,4,3,n
20,3,4,3,1,2,s
21,1,2,3,1,4,s
22,3,1,4,1,3,s
23,1,2,4,1,2,n
24,4,3,4,2,3,s
25,4,1,3,2,1,n
26,3,4,4,2,1,n
27,4,3,2,1,3,n
28,1,3,2,4,1,s
29,4,1,4,3,2,s
30,3,1,3,2,4,n
31,4,3,2,1,3,n
32,4,1,2,4,1,s
33,1,4,4,3,1,s
34,2,3,1,4,2,s
35,3,4,3,1,3,n
36,3,4,4,2,1,n
37,1,2,3,1,2,n
38,1,3,1,3,2,n
39,4,2,3,4,1,s
40,2,1,4,2,1,n
41,1,4,3,2,4,n
42,3,4,1,4,2,n
43,1,4,2,4,3,s
44,1,2,1,2,2,s
45,1,3,2,4,3,n
46,3,1,3,1,2,n
47,3,1,4,2,3,s
48,3,1,3,4,2,n
49,4,2,2,1,4,n
50,1,2,2,3,1,n
51,1,3,2,4,1,s
52,1,2,4,3,2,n
53,4,1,1,2,4,s
54,1,2,2,1,3,n
55,4,1,4,3,1,s
56,3,1,3,1,4,n
57,4,2,1,2,3,s
58,3,4,1,3,2,s
59,3,4,1,3,2,n
60,3,2,1,4,2,n
61,2,4,4,1,2,n
62,3,2,3,1,2,n
63,3,1,3,1,4,s
64,2,3,3,1,2,n
65,4,1,3,2,4,n
66,1,2,1,2,3,s
67,1,3,3,4,2,n
68,4,2,2,3,4,s
69,1,2,1,2,3,n
70,1,4,2,4,1,s
71,1,3,1,3,2,n
72,2,4,4,3,1,s
73,3,4,3,4,2,s
74,2,1,3,1,2,s
75,2,3,4,1,3,n
76,4,1,1,2,4,n
77,4,3,1,3,4,n
78,4,2,4,3,1,n
79,2,4,3,4,2,n
80,4,1,2,1,3,s
81,1,3,1,4,2,n
82,2,2,4,3,1,s
83,4,1,2,4,3,n
84,4,3,2,4,1,s
85,3,4,1,4,3,n
86,3,2,1,3,4,n
87,3,2,1,2,3,s
88,2,1,2,4,1,n
89,2,3,2,4,3,n
90,2,1,1,3,2,n
